"Table 210-06304 : Employed persons by educational attainment, age and sex",,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,
Age group,,,15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,15 - 24,25 - 39,25 - 39,25 - 39,25 - 39,25 - 39,25 - 39,40 and over,40 and over,40 and over,40 and over,40 and over,40 and over,15 and over,15 and over,15 and over,15 and over,15 and over,15 and over
Sex,,,Male,Male,Female,Female,Both sexes,Both sexes,Male,Male,Female,Female,Both sexes,Both sexes,Male,Male,Female,Female,Both sexes,Both sexes,Male,Male,Female,Female,Both sexes,Both sexes
 , , ,Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1),Employed persons (1)
,,,No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%),No. ('000),Percentage share (%)
Year,Quarter,Educational attainment (2),,,,,,,,,,,,,,,,,,,,,,,,
1988,,     Post-secondary - non-degree (6),18.3,6.6,30.3,11.7,48.7,9.1,56.9,7.1,51.2,10.9,108.1,8.5,21.9,3.4,13.4,5.0,35.3,3.8,97.1,5.6,94.9,9.5,192.1,7.0
1988,,          Post-secondary - diploma/certificate (7),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1988,,          Post-secondary - sub-degree (8),N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.
1988,,     Post-secondary - degree (9),6.8,2.4,6.0,2.3,12.8,2.4,60.1,7.5,27.9,5.9,88.0,6.9,43.4,6.6,9.4,3.5,52.8,5.7,110.3,6.4,43.3,4.4,153.6,5.6
1988,,Overall,277.2,100.0,258.9,100.0,536.1,100.0,798.3,100.0,469.0,100.0,1267.3,100.0,654.6,100.0,267.0,100.0,921.6,100.0,1730.1,100.0,994.9,100.0,2725.0,100.0
1989,,Primary and below,18.6,7.1,12.9,5.2,31.5,6.2,200.9,25.1,112.0,23.3,313.0,24.4,368.8,55.1,176.3,67.0,545.1,58.5,588.4,34.0,301.2,30.4,889.6,32.7
1989,,Secondary,216.6,83.1,197.6,79.6,414.3,81.4,481.1,60.0,286.3,59.6,767.4,59.9,231.1,34.5,60.2,22.9,291.3,31.2,928.8,53.6,544.2,54.9,1472.9,54.1
1989,,     Lower secondary (3),91.7,35.2,44.6,18.0,136.3,26.8,184.5,23.0,62.1,12.9,246.6,19.2,90.6,13.5,21.4,8.1,112.0,12.0,366.8,21.2,128.1,12.9,494.9,18.2
1989,,     Upper secondary (4),124.9,47.9,153.0,61.6,278.0,54.6,296.6,37.0,224.2,46.7,520.8,40.6,140.5,21.0,38.8,14.8,179.3,19.2,562.0,32.5,416.1,42.0,978.1,35.9
1989,,Post-secondary (5),25.5,9.8,37.7,15.2,63.3,12.4,119.4,14.9,82.0,17.1,201.4,15.7,69.4,10.4,26.5,10.1,95.9,10.3,214.4,12.4,146.3,14.7,360.6,13.2
1989,,     Post-secondary - non-degree (6),19.1,7.3,31.1,12.5,50.1,9.8,59.5,7.4,52.2,10.9,111.7,8.7,21.5,3.2,15.1,5.8,36.6,3.9,100.0,5.8,98.4,9.9,198.4,7.3
