Year,Quater,Educational attainment,Both sexes:No. ('000),Both sexes:Percentage share (%),Female:No. ('000),Female:Percentage share (%),Male:No. ('000),Male:Percentage share (%),total_female,total_male
2019,Q2,     Post-secondary - non-degree (6),783.2,3834.6643227666113,380.0,0.09682893469318019,403.3,0.10517765215070773,3924.4467700083455,3834.464753235949
2019,Q2,          Post-secondary - diploma/certificate (7),290.6,3822.738037613291,152.5,0.03883910252167583,138.0,0.036100478365643986,3926.455301455301,3822.664026838256
2019,Q2,          Post-secondary - sub-degree (8),492.70000000000005,3851.395470635143,227.4,0.05823120090537542,265.3,0.06888637982055816,3905.122966114345,3851.269303033181
2019,Q2,     Post-secondary - degree (9),2443.0,3843.471279953543,1200.4,0.3060781515820139,1242.6,0.3233538985836779,3921.874180811471,3842.848363488769
2019,Q3,Primary and below,634.2,3822.9060315016436,356.0,0.09072452972782541,278.3,0.07280110051865142,3923.96633047318,3822.744409319752
2019,Q3,Secondary,3817.3,3830.4634822485964,1932.6,0.49414664328565433,1884.8,0.4921807503602625,3910.984778020257,3829.487436516725
2019,Q3,     Lower secondary (3),1057.2,3822.5085183670367,457.7,0.11713786298255781,599.3,0.15679295938649845,3907.361704798669,3822.23795216921
2019,Q3,     Upper secondary (4),2760.1,3827.234727397756,1474.8,0.3768749982419423,1285.3000000000002,0.3358918394960539,3913.23384910034,3826.5294028231374
2019,Q3,Post-secondary (5),3287.0,3829.542149924164,1622.0,0.41485983404706817,1664.9,0.4348471745620275,3909.754251639543,3828.7014321223683
2019,Q3,     Post-secondary - non-degree (6),773.6,3836.84620907587,373.5,0.09571497804205908,400.0,0.10425767594856569,3902.210580206962,3836.647962470747
2019,Q3,          Post-secondary - diploma/certificate (7),279.1,3831.871307425508,151.70000000000002,0.038891469640861584,127.30000000000001,0.033221986576191416,3900.598290598291,3831.7997542997546
2019,Q3,          Post-secondary - sub-degree (8),494.6,3831.185146491761,221.8,0.05706452687381756,272.6,0.07115528070470552,3886.8279849309793,3831.057896198741
2019,Q3,     Post-secondary - degree (9),2513.5,3832.502799383465,1248.6,0.31899478844521184,1264.9,0.3301007309599863,3914.170529511488,3831.8606454504547
2019,Q4,Primary and below,651.0,3804.7584885195015,353.8,0.09125855238737977,296.0,0.07780075004076309,3876.896912611199,3804.5905707196025
