Year,Quater,Educational attainment,Both sexes:No. ('000),Both sexes:Percentage share (%),Female:No. ('000),Female:Percentage share (%),Male:No. ('000),Male:Percentage share (%),total_female,total_male
2017,Q3,          Post-secondary - sub-degree (8),450.4,5.893195999215282,202.0,5.382357345382896,248.2,6.380939009463445,3753.002393519635,3889.7096435477515
2017,Q3,     Post-secondary - degree (9),2366.0,30.908410333593693,1156.4,30.589908343631233,1209.6,31.21916782113834,3780.3316930851825,3874.5427390315826
2017,Q4,Primary and below,664.9,8.614490175420721,351.0,9.210425107584323,312.5,7.997458047004588,3810.899018232819,3907.4915824915824
2017,Q4,Secondary,3924.4,50.95518276937631,1958.6,51.300791510257916,1965.8000000000002,50.61544010460729,3817.8748170159624,3883.795134325153
2017,Q4,     Lower secondary (3),1058.4,13.750238648374607,436.4,11.437559882391895,622.0,16.023404269905615,3815.4991491833593,3881.8217996796748
2017,Q4,     Upper secondary (4),2866.0,37.18596182040822,1522.2,39.81725449480333,1343.9,34.598755077121076,3822.9657451612266,3884.2438030051353
2017,Q4,Post-secondary (5),3111.8,40.409235814295414,1510.1,39.50350387654778,1601.5,41.29689087819876,3822.6988793682867,3878.015913409732
2017,Q4,     Post-secondary - non-degree (6),653.0,8.506102295709455,300.8,7.905257810579765,352.2,9.096593320504365,3805.0624939446425,3871.77911104497
2017,Q4,          Post-secondary - diploma/certificate (7),209.3,2.7117220780358253,104.1,2.7103436348676446,105.4,2.718245449724456,3840.8413848631244,3877.501202501203
2017,Q4,          Post-secondary - sub-degree (8),443.6,5.767000952898647,196.8,5.148592381089325,246.8,6.377861401967287,3822.4039782765167,3869.6356732348113
2017,Q4,     Post-secondary - degree (9),2458.8,31.93956027412416,1209.4,31.688973713793,1249.4,32.18592816231766,3816.469447458295,3881.8206319827714
2018,Q1,Primary and below,653.0,8.452808640155892,348.6,9.018652918758248,302.9,7.847311606867481,3865.3222730739894,3859.920634920635
2018,Q1,Secondary,3971.2,51.230385275233125,2003.8,51.881575684831205,1967.4,50.58373798378474,3862.257407470872,3889.392279848269
2018,Q1,     Lower secondary (3),1088.6,14.020497784379629,456.8,11.797005592920437,631.8,16.232559859557615,3872.169055121349,3892.1772380096954
2018,Q1,     Upper secondary (4),2882.6,37.187241822948245,1547.1,40.067973139064925,1335.7,34.33327768277695,3861.1885723054693,3890.394655416324
2018,Q1,Post-secondary (5),3128.6,40.35313247555673,1509.6999999999998,39.08202502554261,1618.9,41.61533556412272,3862.9011649557924,3890.152459555514
2018,Q1,     Post-secondary - non-degree (6),668.7,8.61244905825016,305.29999999999995,7.909860900924831,363.4,9.3069645196155,3859.739176504405,3904.6028297850776
2018,Q1,          Post-secondary - diploma/certificate (7),211.5,2.7326082304079833,103.2,2.6755769175933035,108.4,2.7918385177050022,3857.112061380354,3882.7460582895364
2018,Q1,          Post-secondary - sub-degree (8),457.2,5.902169007678219,202.3,5.238713720939272,255.0,6.564264432966029,3861.634950415438,3884.6698301698307
2018,Q1,     Post-secondary - degree (9),2460.0,31.729889361828057,1204.3000000000002,31.17276884695422,1255.5,32.27809717372075,3863.307766828894,3889.634488807991
2018,Q2,Primary and below,626.5999999999999,8.133286315443472,328.0,8.451824997182504,297.5,7.781186738291362,3880.8186410549424,3823.3242563887725
2018,Q2,Secondary,3986.2,51.472021264427724,2020.6,52.32470272134657,1965.9,50.631697743040625,3861.655957723519,3882.745567760889
